date,Mkt-RF,SMB,HML,RF
20031121,    0.21,    0.13,    0.61,   0.004
20031124,    1.71,    0.71,    0.00,   0.004
20031125,    0.31,    0.26,    0.54,   0.004
20031126,    0.40,   -0.11,    0.46,   0.004
20031128,    0.11,    0.27,   -0.18,   0.004
20031201,    1.11,    0.36,   -0.05,   0.004
20031202,   -0.27,    0.12,    0.14,   0.004
20031203,   -0.34,   -1.14,    0.25,   0.004
20031204,    0.26,   -0.35,   -0.30,   0.004
20031205,   -0.79,   -0.04,   -0.16,   0.004
20031208,    0.65,   -0.16,    0.25,   0.004
20031209,   -0.95,   -0.55,    0.04,   0.004
20031210,   -0.29,   -0.99,   -0.23,   0.004
20031211,    1.34,    1.23,    0.18,   0.004
20031212,    0.31,    0.53,    0.29,   0.004
20031215,   -0.73,   -1.35,    0.07,   0.004
20031216,    0.50,   -0.28,    0.09,   0.004
20031217,    0.15,    0.00,   -0.23,   0.004
20031218,    1.24,    0.26,    0.27,   0.004
20031219,   -0.04,   -0.12,    0.36,   0.004
20031222,    0.36,    0.01,    0.22,   0.004
20031223,    0.36,    0.64,    0.06,   0.004
20031224,   -0.18,   -0.22,    0.07,   0.004
20031226,    0.19,    0.33,    0.06,   0.004
20031229,    1.29,    0.33,    0.00,   0.004
20031230,    0.05,    0.24,    0.17,   0.004
20031231,    0.01,   -1.39,    0.02,   0.004
20040102,   -0.17,    0.82,    0.43,   0.003
20040105,    1.20,    0.42,    0.01,   0.003
20040106,    0.20,    0.07,    0.23,   0.003
20040107,    0.34,    0.58,   -0.08,   0.003
20040108,    0.45,    0.31,    0.70,   0.003
20040109,   -0.72,   -0.02,    0.29,   0.003
20040112,    0.57,    0.92,    0.13,   0.003
20040113,   -0.51,    0.18,    0.09,   0.003
20040114,    0.80,   -0.07,    0.46,   0.003
20040115,    0.15,    0.01,   -0.31,   0.003
20040116,    0.72,    0.07,    0.60,   0.003
20040120,    0.15,    1.16,    0.60,   0.003
20040121,    0.64,   -1.08,    0.32,   0.003
20040122,   -0.32,   -0.56,   -0.05,   0.003
20040123,   -0.14,    0.89,   -0.11,   0.003
20040126,    1.12,   -0.10,   -0.29,   0.003
20040127,   -0.96,   -0.03,    0.01,   0.003
20040128,   -1.44,   -0.34,   -0.39,   0.003
20040129,    0.25,   -0.99,   -0.76,   0.003
20040130,   -0.15,    0.22,    0.47,   0.003
20040202,    0.27,   -0.34,   -0.14,   0.003
20040203,    0.00,   -0.16,   -0.03,   0.003
20040204,   -0.97,   -1.52,   -0.59,   0.003
20040205,    0.23,    0.49,    0.18,   0.003
20040206,    1.39,    1.03,    0.40,   0.003
20040209,   -0.10,    0.33,    0.27,   0.003
20040210,    0.56,    0.55,    0.16,   0.003
20040211,    1.04,   -0.40,    0.14,   0.003
20040212,   -0.46,   -0.10,   -0.17,   0.003
